Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount($),Stage,Sector
TrulyMadly,New Delhi,Trulymadly is a dating platform that uses a match making algorithm.,"Gaurav Munjal, Snehil Khanor",2021,2000000.0,Pre-Series A,Media and Entertainment
Vidyakul,Unknown,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"JITO Angel Network, SOSV",2021,500000.0,Seed Round,Education
Jambox Games,Bengaluru,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Undisclosed,2021,1100000.0,Seed Round,Media and Entertainment
Miko,Mumbai,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chiratae Ventures, YourNest Venture Capital",2021,6000000.0,Undisclosed,Technology
SuperK,Small Towns,SuperK is a full-stack solution to empower small format retail stores in India.,STRIVE VC,2021,800000.0,Seed Round,E-Commerce and Retail
TagZ Foods,Bengaluru,TagZ Foods is a supplier of snacks and food products.,Venture Catalysts,2021,500000.0,Pre-Series A,Agriculture and Food
Fuel Buddy,New Delhi,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Jaipuria Family Office,2021,1000000.0,Undisclosed,Energy and Environment
M1xchange,Gurugram,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Amazon,2021,10000000.0,Undisclosed,Finance and FinTech
Spintly,Goa,Wireless cloud based access control platform,Riso Capital,2021,500000.0,Undisclosed,Technology
EF Polymer,Rajsamand,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,MTG Ventures,2021,200000.0,Undisclosed,Agriculture and Food
boAt,New Delhi,boAt is a consumer electronics and lifestyle company.,"Qualcomm Ventures, Warburg Pincus",2021,6000000.0,Undisclosed,E-Commerce and Retail
TruNativ,Mumbai,TruNativ Foods & Beverages Pvt Ltd,9Unicorns,2021,0.0,Seed Round,Agriculture and Food
iBus,Bengaluru,iBus Networks is an in-building connectivity solutions company,Morgan Stanley,2021,21000000.0,Undisclosed,Telecommuncation
Puresh Daily,Ranchi,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Alfa Ventures, Agility Venture Partners",2021,100000.0,Seed Round,Milk startup
LearnVern,Ahmadabad,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,Undisclosed,2021,1000000.0,Undisclosed,Education
LimeChat,Faridabad,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Stellaris Venture Partners, Ramakant Sharma",2021,7500000.0,Seed Round,Technology
Dybo,Bengaluru,Product Visualisation Technology for Commerce,Spanache,2021,100000.0,Seed Round,Technology
moEVing,Gurugram,"Delivering clean, cost-effective and efficient mobility solutions.",Undisclosed,2021,1000000.0,Seed Round,Transportation and Mobility
WeWork India,Bengaluru,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Undisclosed,2021,26000000.0,Undisclosed,Technology
Solethreads,Gurugram,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,"DSG Consumer Partners, Saama Capital",2021,1000000.0,Series A,Consumer Goods
Beldara,Mumbai,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Hindustan Media Ventures,2021,7400000.0,Undisclosed,E-Commerce and Retail
CredFlow,New Delhi,CredFlow provides financial solutions to automate your cashflows.,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2021,2000000.0,Seed Round,Finance and FinTech
Do Your Thng,Gurugram,World's first shared economy platform for digital assets.,"Angelbay Holdings, Faad Network",2021,1500000.0,Undisclosed,Marketing and Advertising
Oye Rickshaw,Gurugram,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Alteria Capital, Chiratae Ventures",2021,3000000.0,Undisclosed,Transportation and Mobility
Legitquest,New Delhi,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"WaterBridge Ventures, Info Edge",2021,600000.0,Undisclosed,Professional Services
Swiggy,Bengaluru,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Carmignac, Falcon Edge Capital",2021,800000000.0,Undisclosed,Agriculture and Food
AntWak,Bengaluru,AntWak provides a video platform for e-learning service.,"Vaibhav Domkundwar, Kunal Shah",2021,0.0,Seed Round,Education
PlayShifu,Bengaluru,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Chiratae Ventures, Bharat Innovation Fund",2021,17000000.0,Series B,Education
Pitstop,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Acko Technology, Services, LetsVenture",2021,3500000.0,Pre-Series A,Transportation and Mobility
